student_id,course_id,enrollment_date
UNT_2025_0001,CS101,2026-06-29
UNT_2025_0001,CS102,2026-06-30
UNT_2025_0002,CS103,2026-01-10
UNT_2025_0002,CS104,2026-01-18
UNT_2025_0003,CS104,2026-02-15
UNT_2025_0003,CS105,2026-02-20
UNT_2025_0004,CS105,2026-03-01
UNT_2025_0004,CS106,2026-03-05
UNT_2025_0005,CS106,2026-04-12
UNT_2025_0005,CS107,2026-04-15
UNT_2025_0006,CS107,2026-05-05
UNT_2025_0006,CS108,2026-05-10
UNT_2025_0007,CS108,2026-01-20
UNT_2025_0007,CS109,2026-01-25
UNT_2025_0008,CS109,2026-02-25
UNT_2025_0008,CS110,2026-03-01
UNT_2025_0009,CS110,2026-03-18
UNT_2025_0009,CS111,2026-03-22
UNT_2025_0010,CS111,2026-04-22
UNT_2025_0010,CS112,2026-04-28
UNT_2025_0011,CS112,2026-05-30
UNT_2025_0011,CS113,2026-06-02
UNT_2025_0012,CS113,2026-06-10
UNT_2025_0012,CS114,2026-06-12
UNT_2025_0013,CS114,2026-01-15
UNT_2025_0013,CS115,2026-01-20
UNT_2025_0014,CS115,2026-02-08
UNT_2025_0014,CS116,2026-02-12
UNT_2025_0015,CS116,2026-03-22
UNT_2025_0015,CS117,2026-03-25
UNT_2025_0016,CS117,2026-04-04
UNT_2025_0016,CS118,2026-04-09
UNT_2025_0017,CS118,2026-05-17
UNT_2025_0017,CS119,2026-05-20
UNT_2025_0018,CS119,2026-06-01
UNT_2025_0018,CS120,2026-06-05
UNT_2025_0019,CS120,2026-01-29
UNT_2025_0019,CS101,2026-02-02
UNT_2025_0020,CS101,2026-02-19
UNT_2025_0020,CS102,2026-02-23
UNT_2025_0021,CS102,2026-03-10
UNT_2025_0021,CS103,2026-03-14
UNT_2025_0022,CS103,2026-04-25
UNT_2025_0022,CS104,2026-04-29
UNT_2025_0023,CS104,2026-05-09
UNT_2025_0023,CS105,2026-05-13
UNT_2025_0024,CS105,2026-06-15
UNT_2025_0024,CS106,2026-06-18
UNT_2025_0025,CS106,2026-01-05
UNT_2025_0025,CS107,2026-01-09
